S,I,R,tempo
68.00,2.00,0.00,0.0
67.99,2.01,0.00,0.1
67.97,2.02,0.00,0.2
67.96,2.03,0.01,0.3
67.95,2.05,0.01,0.4
67.93,2.06,0.01,0.5
67.92,2.07,0.01,0.6
67.90,2.08,0.02,0.7
67.89,2.09,0.02,0.8
67.87,2.10,0.02,0.9
67.86,2.12,0.02,1.0
67.85,2.13,0.03,1.1
67.83,2.14,0.03,1.2
67.82,2.15,0.03,1.3
67.80,2.16,0.03,1.4
67.79,2.18,0.04,1.5
67.77,2.19,0.04,1.6
67.76,2.20,0.04,1.7
67.74,2.21,0.04,1.8
67.73,2.23,0.05,1.9
67.71,2.24,0.05,2.0
67.70,2.25,0.05,2.1
67.68,2.26,0.05,2.2
67.67,2.28,0.06,2.3
67.65,2.29,0.06,2.4
67.64,2.30,0.06,2.5
67.62,2.32,0.06,2.6
67.61,2.33,0.07,2.7
67.59,2.34,0.07,2.8
67.57,2.35,0.07,2.9
67.56,2.37,0.07,3.0
67.54,2.38,0.08,3.1
67.53,2.39,0.08,3.2
67.51,2.41,0.08,3.3
67.49,2.42,0.08,3.4
67.48,2.44,0.09,3.5
67.46,2.45,0.09,3.6
67.44,2.46,0.09,3.7
67.43,2.48,0.10,3.8
67.41,2.49,0.10,3.9
67.39,2.50,0.10,4.0
67.38,2.52,0.10,4.1
67.36,2.53,0.11,4.2
67.34,2.55,0.11,4.3
67.33,2.56,0.11,4.4
67.31,2.57,0.12,4.5
67.29,2.59,0.12,4.6
67.27,2.60,0.12,4.7
67.26,2.62,0.12,4.8
67.24,2.63,0.13,4.9
67.22,2.65,0.13,5.0
67.20,2.66,0.13,5.1
67.19,2.68,0.14,5.2
67.17,2.69,0.14,5.3
67.15,2.71,0.14,5.4
67.13,2.72,0.15,5.5
67.11,2.74,0.15,5.6
67.09,2.75,0.15,5.7
67.08,2.77,0.16,5.8
67.06,2.78,0.16,5.9
67.04,2.80,0.16,6.0
67.02,2.81,0.16,6.1
67.00,2.83,0.17,6.2
66.98,2.85,0.17,6.3
66.96,2.86,0.17,6.4
66.94,2.88,0.18,6.5
66.92,2.89,0.18,6.6
66.91,2.91,0.18,6.7
66.89,2.93,0.19,6.8
66.87,2.94,0.19,6.9
66.85,2.96,0.19,7.0
66.83,2.98,0.20,7.1
66.81,2.99,0.20,7.2
66.79,3.01,0.20,7.3
66.77,3.02,0.21,7.4
66.75,3.04,0.21,7.5
66.73,3.06,0.21,7.6
66.71,3.08,0.22,7.7
66.69,3.09,0.22,7.8
66.67,3.11,0.23,7.9
66.64,3.13,0.23,8.0
66.62,3.14,0.23,8.1
66.60,3.16,0.24,8.2
66.58,3.18,0.24,8.3
66.56,3.20,0.24,8.4
66.54,3.21,0.25,8.5
66.52,3.23,0.25,8.6
66.50,3.25,0.25,8.7
66.47,3.27,0.26,8.8
66.45,3.29,0.26,8.9
66.43,3.30,0.27,9.0
66.41,3.32,0.27,9.1
66.39,3.34,0.27,9.2
66.36,3.36,0.28,9.3
66.34,3.38,0.28,9.4
66.32,3.40,0.28,9.5
66.30,3.41,0.29,9.6
66.28,3.43,0.29,9.7
66.25,3.45,0.30,9.8
66.23,3.47,0.30,9.9
66.21,3.49,0.30,10.0
66.18,3.51,0.31,10.1
66.16,3.53,0.31,10.2
66.14,3.55,0.32,10.3
66.11,3.57,0.32,10.4
66.09,3.59,0.32,10.5
66.07,3.61,0.33,10.6
66.04,3.63,0.33,10.7
66.02,3.65,0.34,10.8
65.99,3.67,0.34,10.9
65.97,3.69,0.34,11.0
65.95,3.71,0.35,11.1
65.92,3.73,0.35,11.2
65.90,3.75,0.36,11.3
65.87,3.77,0.36,11.4
65.85,3.79,0.37,11.5
65.82,3.81,0.37,11.6
65.80,3.83,0.37,11.7
65.77,3.85,0.38,11.8
65.75,3.87,0.38,11.9
65.72,3.89,0.39,12.0
65.70,3.91,0.39,12.1
65.67,3.93,0.40,12.2
65.64,3.96,0.40,12.3
65.62,3.98,0.41,12.4
65.59,4.00,0.41,12.5
65.57,4.02,0.41,12.6
65.54,4.04,0.42,12.7
65.51,4.06,0.42,12.8
65.49,4.09,0.43,12.9
65.46,4.11,0.43,13.0
65.43,4.13,0.44,13.1
65.41,4.15,0.44,13.2
65.38,4.17,0.45,13.3
65.35,4.20,0.45,13.4
65.32,4.22,0.46,13.5
65.30,4.24,0.46,13.6
65.27,4.27,0.47,13.7
65.24,4.29,0.47,13.8
65.21,4.31,0.48,13.9
65.18,4.34,0.48,14.0
65.16,4.36,0.49,14.1
65.13,4.38,0.49,14.2
65.10,4.41,0.50,14.3
65.07,4.43,0.50,14.4
65.04,4.45,0.51,14.5
65.01,4.48,0.51,14.6
64.98,4.50,0.52,14.7
64.95,4.52,0.52,14.8
64.93,4.55,0.53,14.9
64.90,4.57,0.53,15.0
64.87,4.60,0.54,15.1
64.84,4.62,0.54,15.2
64.81,4.65,0.55,15.3
64.78,4.67,0.55,15.4
64.75,4.70,0.56,15.5
64.72,4.72,0.56,15.6
64.68,4.75,0.57,15.7
64.65,4.77,0.57,15.8
64.62,4.80,0.58,15.9
64.59,4.82,0.58,16.0
64.56,4.85,0.59,16.1
64.53,4.88,0.60,16.2
64.50,4.90,0.60,16.3
64.47,4.93,0.61,16.4
64.43,4.95,0.61,16.5
64.40,4.98,0.62,16.6
64.37,5.01,0.62,16.7
64.34,5.03,0.63,16.8
64.31,5.06,0.63,16.9
64.27,5.09,0.64,17.0
64.24,5.11,0.65,17.1
64.21,5.14,0.65,17.2
64.18,5.17,0.66,17.3
64.14,5.19,0.66,17.4
64.11,5.22,0.67,17.5
64.08,5.25,0.68,17.6
64.04,5.28,0.68,17.7
64.01,5.30,0.69,17.8
63.97,5.33,0.69,17.9
63.94,5.36,0.70,18.0
63.91,5.39,0.71,18.1
63.87,5.42,0.71,18.2
63.84,5.45,0.72,18.3
63.80,5.47,0.72,18.4
63.77,5.50,0.73,18.5
63.73,5.53,0.74,18.6
63.70,5.56,0.74,18.7
63.66,5.59,0.75,18.8
63.63,5.62,0.76,18.9
63.59,5.65,0.76,19.0
63.55,5.68,0.77,19.1
63.52,5.71,0.77,19.2
63.48,5.74,0.78,19.3
63.45,5.77,0.79,19.4
63.41,5.80,0.79,19.5
63.37,5.83,0.80,19.6
63.33,5.86,0.81,19.7
63.30,5.89,0.81,19.8
63.26,5.92,0.82,19.9
63.22,5.95,0.83,20.0
63.19,5.98,0.83,20.1
63.15,6.01,0.84,20.2
